student_id,question_id,selected_option,correct_option,is_correct,mistake_type,correctness_reason,confidence_signal,key_concept
274600,Q40,C,UNKNOWN,False,Conceptual,"Student selected option C, which is wrong.",High,Darwin's Theory of Evolution
274600,Q41,C,UNKNOWN,False,Conceptual,Student selected option C. Breakdown of glucose to pyruvate happen in cytoplasm.,High,Aerobic Respiration
274600,Q42,D,UNKNOWN,False,Conceptual,Student selected option D. ,High,Digestive System
274600,Q43,A,UNKNOWN,True,None,"Student selected option A, which correctly labels nephron as the basic unit for filtration.",High,Excretory System
274600,Q44,B,UNKNOWN,True,None,"Student selected option B, which gives the correct answer.",High,Plant Physiology
274600,Q45,C,UNKNOWN,True,None,"Student selected option C, which the correct option based on assertion and reason.",High,Plant Anatomy
274600,Q46,D,UNKNOWN,False,Conceptual,Student selected option D. Cuscuta is a parasitic plant.,High,Plant Nutrition
274600,Q47,D,UNKNOWN,False,Conceptual,Student selected option D. Nitrogen is an essential element for protein synthesis.,High,Plant Nutrition
274600,Q48,D,UNKNOWN,True,None,"Student selected option D, which the correct answer for regulating opening and closing of stomata.",High,Plant Physiology
274600,Q49,C,UNKNOWN,True,None,"Student selected option C, which correctly answers for saliva function.",High,Human Physiology
274600,Q50,A,UNKNOWN,False,Conceptual,"Student selected option A, which is wrong based on the solution.",High,Cellular Respiration
253411,Q1,C,UNKNOWN,True,None,The student selected the correct option based on the solution provided which involved calculating the change in momentum and force.,Medium,Momentum and Impulse
253411,Q2,A,UNKNOWN,True,None,The student's selection matches the correct option derived by resolving the tension calculation for a system of two masses connected by a string over a pulley.,Medium,Tension and Forces
253411,Q3,D,UNKNOWN,True,None,"The student correctly identified the answer, understanding the relationship between the area under the Force vs. Time graph and the change in linear momentum.",Medium,Impulse and Momentum
253411,Q4,C,UNKNOWN,True,None,"The student's answer aligns with the correct answer obtained through kinematic equations and Newton's second law, establishing the relationship between velocity and mass.",Medium,Kinematics and Newton's Second Law
253411,Q5,B,UNKNOWN,True,None,"The student selected the correct option by applying the formula F = ma, calculating the force required to change the velocity of the object.",High,Newton's Laws
253411,Q6,A,UNKNOWN,True,None,The student's choice aligns with the correct answer by understanding and applying the Work-Energy Theorem.,Medium,Work-Energy Theorem
253411,Q7,D,UNKNOWN,True,None,Student got the correct answer. 1 kWh is equivalent to 3.6 x 10^6 Joules.,High,Energy Conversion
253411,Q8,A,UNKNOWN,True,None,"The student selected the correct option, reflecting an understanding of how kinetic energy changes with momentum. Calculation using formula is correct.",Medium,Kinetic Energy and Momentum
253411,Q9,C,UNKNOWN,True,None,The student correctly identified the option based on understanding the relationship between kinetic energy and momentum. Using formula for calculation.,Medium,Kinetic Energy and Momentum
253411,Q10,C,D,False,Conceptual,The student incorrectly answered the question. The work done depends on the cosine of the angle between force and displacement. The student may not have understood the cos relationship.,Medium,Work Done by a Force
253411,Q11,A,UNKNOWN,True,None,Student's selection matches with the solution.,Medium,UNKNOWN
253411,Q12,A,UNKNOWN,True,None,Student's choice matches with the solution.,Medium,Reflection of Light
253411,Q13,C,UNKNOWN,True,None,Student's selection matches with the solution.,Medium,Laws of Reflection
253411,Q14,D,C,False,Conceptual,The student incorrectly answered the question. The student seems to be confused about the properties of spherical mirrors.,Medium,Reflection in Mirrors
253411,Q15,B,UNKNOWN,True,None,The student's choice matches with the solution.,Medium,Refraction of Light
253411,Q16,B,UNKNOWN,True,None,Student understood electron configuration and its relation to the periodic table.,Medium,Electronic Configuration and Periodic Table
253411,Q17,B,UNKNOWN,True,None,Student understands that Mg readily forms Mg2+ ions to create MCl2 type compounds.,Medium,Chemical Bonding
253411,Q18,A,UNKNOWN,False,Conceptual,The student selected the wrong answer. Student seems to have messed up the valency concept.,Medium,Valency and Chemical Formulas
253411,Q19,B,UNKNOWN,False,Conceptual,The student did not understand the concept. Memorization is weak.,Medium,Periodic Trends - Atomic Radius
253411,Q20,A,UNKNOWN,True,None,"The student correctly applied the periodic trends, knowing that metallic character decreases from left to right.",Medium,Periodic Trends - Metallic Character
253411,Q21,C,UNKNOWN,True,None,The student can identify the elements by atomic numbers.,Medium,Noble Gases and Reactivity
253411,Q22,C,UNKNOWN,True,None,Student seems to be doing well in inorganic chem concepts.,Medium,Valency and Group Numbers
253411,Q23,B,UNKNOWN,True,None,Student is able to differentiate between the reaction types.,Medium,Types of Chemical Reactions
253411,Q24,A,UNKNOWN,True,None,Student can identify the reducing agent correctly.,Medium,Redox Reactions
253411,Q25,C,UNKNOWN,True,None,Understood the reaction sequence.,Medium,Chemical Reactions
253411,Q26,C,UNKNOWN,True,None,Good concept understanding.,Medium,Chemical Reactions
253411,Q27,A,UNKNOWN,True,None,Student understood well oxidation reduction.,Medium,Oxidation-Reduction
253411,Q28,B,UNKNOWN,True,None,The student can relate electricity with the decomposition.,Medium,Electrolysis
253411,Q29,B,UNKNOWN,True,None,Student is able to relate green colour with copper.,Medium,Corrosion
253411,Q30,B,UNKNOWN,True,None,The student is familiar with balancing.,Medium,Balancing Chemical Equations
253411,Q31,A,UNKNOWN,True,None,Student correctly identified the role of intestinal juice.,Medium,Digestion
253411,Q32,B,UNKNOWN,True,None,Understood the role of lipase.,Medium,Lipid Metabolism
253411,Q33,B,UNKNOWN,True,None,Understands scrotum provides lower temperature.,Medium,Reproduction
253411,Q34,C,UNKNOWN,False,Conceptual,The student seems to be weak on understanding of pulmonary artery.,Medium,Circulatory System
253411,Q35,C,UNKNOWN,True,None,Both the given statements are true. Hence student got it correct.,Medium,Dialysis and Kidney Function
253411,Q36,B,UNKNOWN,True,None,Student is familiar with exo-endocrine gland,Medium,Pancreas Function
253411,Q37,A,UNKNOWN,True,None,The student correctly identifies the path of urine,Medium,Urinary System
253411,Q38,D,UNKNOWN,True,None,Understood the function of nervous system,Medium,Nervous System and Thermoregulation
253411,Q39,A,UNKNOWN,False,Conceptual,The student does not have much idea about STD.,Medium,Syphilis and STDs
253411,Q40,D,UNKNOWN,True,None,The answer is on the inheritance.,Medium,Darwin's Theory of Evolution
253411,Q41,C,UNKNOWN,True,None,Understood cytoplasm and mito,Medium,Aerobic Respiration
253411,Q42,B,UNKNOWN,True,None,The student got the correct answer.,Medium,Digestive System
253411,Q43,A,UNKNOWN,True,None,Good knowledge of nephron function.,Medium,Excretory System
253411,Q44,B,UNKNOWN,True,None,The student seems to be well versed in plant physiology.,Medium,Plant Physiology
253411,Q45,C,UNKNOWN,True,None,The student knows about the parts of plants.,Medium,Plant Anatomy
253411,Q46,C,UNKNOWN,True,None,Understood parasitic mode.,Medium,Plant Nutrition
253411,Q47,A,UNKNOWN,True,None,The student seems to be well aware of the role of nitrogen.,Medium,Plant Nutrition
253411,Q48,D,UNKNOWN,True,None,The student knows role of water in opening and closing.,Medium,Plant Physiology
253411,Q49,C,UNKNOWN,True,None,Understood the role of less saliva.,Medium,Human Physiology
253411,Q50,A,UNKNOWN,False,Conceptual,Glycolysis happens in the cytoplasm.,Medium,Cellular Respiration
269000,Q1,C,UNKNOWN,True,None,Student chose option C which matches the result obtained in the provided solution text. The calculations shown results matching student answer,High,Momentum and Impulse
269000,Q2,A,UNKNOWN,True,None,Student chose option A which matches the result obtained in the provided solution text. Student answer matches the solution,High,Tension and Forces
269000,Q3,A,UNKNOWN,True,None,Student chose option A which matches the result obtained in the provided solution text. The change in linear momentum is proportional to impulse is correct,High,Impulse and Momentum
269000,Q4,A,UNKNOWN,True,None,Student chose option A which matches the result obtained in the provided solution text. Final velocity depends on inverse square root of mass,High,Kinematics and Newton's Second Law
269000,Q5,C,UNKNOWN,True,None,Student chose option C which matches the result obtained in the provided solution text. Calculation of force is accurate,High,Newton's Laws
269000,Q6,C,UNKNOWN,True,None,Student chose option C which matches the result obtained in the provided solution text. Initial kinetic energy (KE) ; d ∝ KE = (1/2)mv^2 is correct reasoning,High,Work-Energy Theorem
269000,Q7,D,UNKNOWN,True,None,Student chose option D which matches the result obtained in the provided solution text. 1 kWh = 3.6 x 10^6 J,High,Energy Conversion
269000,Q8,B,UNKNOWN,False,Calculation,"The student chose 40% as the answer, but the correct answer is 21%. The student might have incorrectly calculated the percentage increase.",Medium,Kinetic Energy and Momentum
269000,Q9,B,UNKNOWN,False,Calculation,"The student chose 40% as the answer, but the correct answer needs calculation using :K' = (0.90p)^2 / 2m = (0.81)p^2 / 2m",Medium,Kinetic Energy and Momentum
269000,Q10,D,D,True,None,"The student chose option D which is correct, matching the solution. Understanding of work done is shown",High,Work Done by a Force
269000,Q11,A,UNKNOWN,False,Conceptual,Student chose A but the solution is not provided for this question.,Low,UNKNOWN
269000,Q12,A,UNKNOWN,True,None,"Student chose A which is correct, Angle of incidence is zero at centre of curvature.",High,Reflection of Light
269000,Q13,A,UNKNOWN,False,Conceptual,Student chose A but the solution is incomplete.,Low,Laws of Reflection
269000,Q14,C,C,True,None,Student chose C which is correct. Reflection rules are understood.,High,Reflection in Mirrors
269000,Q15,B,UNKNOWN,False,Conceptual,Student chose B but need to understand rules of refraction.,Low,Refraction of Light
269000,Q16,B,UNKNOWN,True,None,Student chose B which is correct.,High,Electronic Configuration and Periodic Table
269000,Q17,B,UNKNOWN,True,None,Student chose B which is correct.,High,Chemical Bonding
269000,Q18,A,UNKNOWN,False,Conceptual,Student chose A. PQ valency and electronic configuration concept is not clear.,Low,Valency and Chemical Formulas
269000,Q19,A,UNKNOWN,True,None,Student chose A. Na>Mg>Al>Si atomic radius decreasing,High,Periodic Trends - Atomic Radius
269000,Q20,A,UNKNOWN,True,None,Student chose A. Metallic character,High,Periodic Trends - Metallic Character
269000,Q21,C,UNKNOWN,True,None,Student chose C. Noble Gases understanding,High,Noble Gases and Reactivity
269000,Q22,C,UNKNOWN,True,None,Student chose C. Valency across group understood.,High,Valency and Group Numbers
269000,Q23,B,UNKNOWN,True,None,Student chose B. Correct combination identified,High,Types of Chemical Reactions
269000,Q24,A,UNKNOWN,True,None,Student chose A. Reducing Agent Identified.,High,Redox Reactions
269000,Q25,A,UNKNOWN,False,Conceptual,Student chose A. CaCO3 (limestone is correct,Low,Chemical Reactions
269000,Q26,C,UNKNOWN,True,None,Student chose C which is correct. Correct chemical reactions understood.,High,Chemical Reactions
269000,Q27,A,UNKNOWN,True,None,Student chose A. Oxidation-Reduction clear.,High,Oxidation-Reduction
269000,Q28,B,UNKNOWN,True,None,Student chose B. Electrolysis understood.,High,Electrolysis
269000,Q29,B,UNKNOWN,True,None,Student chose B. Metal identification understood.,High,Corrosion
269000,Q30,B,UNKNOWN,True,None,Student chose B. Balanced equation understanding.,High,Balancing Chemical Equations
269000,Q31,A,UNKNOWN,True,None,Intestinal Juice is the correct answer,High,Digestion
269000,Q32,D,UNKNOWN,False,Conceptual,"Student chose All of these, but Lipase acts only on fats.",Low,Lipid Metabolism
269000,Q33,B,UNKNOWN,True,None,Formation of Sperms,High,Reproduction
269000,Q34,B,UNKNOWN,True,None,A is false R is true.,High,Circulatory System
269000,Q35,C,UNKNOWN,True,None,Both A and R true.,High,Dialysis and Kidney Function
269000,Q36,C,UNKNOWN,False,Conceptual,"The student chose Salivary gland, but Pancreas has both endocrine and exocrine function.",Low,Pancreas Function
269000,Q37,A,UNKNOWN,True,None,Correct flow of urine.,High,Urinary System
269000,Q38,C,UNKNOWN,False,Conceptual,Student selected Regulating body temperature but the broader homeostasis requires endocrine involvement,Medium,Nervous System and Thermoregulation
269000,Q39,D,UNKNOWN,True,None,Correct STD identification.,High,Syphilis and STDs
269000,Q40,C,UNKNOWN,True,None,Evolution through inheritance correct Darwin,High,Darwin's Theory of Evolution
269000,Q41,B,UNKNOWN,False,Conceptual,"Glycolysis occors in cytoplasm, Mitochondria later",Low,Aerobic Respiration
269000,Q42,C,UNKNOWN,False,Conceptual,"Student chose Lipase bile mucus, but acid + pepsing + mucus are the digestive juices",Low,Digestive System
269000,Q43,A,UNKNOWN,True,None,Correct Nephron selected.,High,Excretory System
269000,Q44,B,UNKNOWN,True,None,Correct selectino of non-excretory,High,Plant Physiology
269000,Q45,A,UNKNOWN,False,Conceptual,"Student chose both A and R are true, but xylem is present in stem and roots.",Medium,Plant Anatomy
269000,Q46,D,UNKNOWN,False,Conceptual,Student chose Helianthus but Cuscuta shows parastic behavior.,Low,Plant Nutrition
269000,Q47,C,UNKNOWN,False,Conceptual,"Student Chose Iron, but proteins synethis require Nitrogen.",Low,Plant Nutrition
269000,Q48,D,UNKNOWN,True,None,Amount of water in guard cell.,High,Plant Physiology
269000,Q49,C,UNKNOWN,True,None,Starch into simple sugars,High,Human Physiology
269000,Q50,A,UNKNOWN,False,Conceptual,Studen choese Mitochondria deficient muscle cells,Low,Cellular Respiration
